Player,Team,Assists,Nationality,Appearances,Height(cm),age
Pascal Gross,Brighton,10,Germany,216,181,32
Kieran Trippier,Newcastle Utd,10,England,175,178,33
Ollie Watkins,Aston Villa,10,England,135,180,28
Pedro Neto,Wolves,14,Portugal,108,172,23
Mo Salah,Liverpool,9,Egypt,252,175,31
Julian Alvarez,Manchester City,7,Argentina,57,170,24
Leon Bailey,Aston Villa,7,Jamaica,75,178,26
Anthony Elanga,Nott'ham Forest,7,Sweden,64,178,21
Phil Foden,Manchester City,7,England,155,171,23
Darwin Nunez,Liverpool,7,Uruguay,53,187,24
